Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,MSSQ
4,0,10,0,0,24.81,9.2,100.0,0.98,166977,66916,25825,19145,11382,9357,17996,8608,4051,2470,4057,12713,41966,122400,203649,91959,59817,22560,25017,34842,41493,58175,54545,0,0,0,0,0,0,0,0,0,130324,214337,177983,123046,109291,71717,97002,55758,24528,17726,20230,19862,10430,4046,2892,2350,2409,2998,2884,4212,1608,2222,3399,2350,1266,938,112,0,0,0,0,0,0,0,0,0,21,653,433,5818,38520,33073,28366,53814,62351,48361,49038,47261,54038,46933,45255,45945,46221,45449,43160,36805,35002,39968,43294,38715,29001,36094,44129,108202,0.2738397717475891,1.0312420129776,-1.186770026510627,4.859824873902768,3.4670675,-4.7188587,1.063460111618042,51.36959336480475,4.9836710598351655,-0.2375979734905756,1.3549083268726605,64.51087080684111,34.91612177524557,24.836977232638564,4.0
4,0,11,0,0,14.15,8.12,45.32,0.99,89300,34191,17101,17058,13807,9179,11147,6786,8137,3410,8958,17167,48783,281539,269836,137797,56687,11368,10804,7888,13594,19851,11532,0,0,0,0,0,0,0,0,0,66395,107634,116781,92993,81211,72990,77181,46942,72553,129453,66406,43662,22770,13528,9478,6887,6737,5522,6617,4755,7038,8671,1776,1564,1047,758,857,1304,2893,20642,7753,1122,29895,6636,15438,16829,30594,26536,21326,29873,26599,80282,66879,46512,55720,86762,50168,50768,84132,42144,44424,37632,31442,32894,27739,22620,17300,14435,12642,11188,9937,11777,16465,48332,-0.1379060298204422,1.434587478637695,-0.4735131363223463,1.0283765624787478,4.2365503,-4.241293,2.0580413341522217,42.198092085775066,8.83284440244138,-2.3711168633808626,10.687846523369206,57.95677286153891,0.1170298579607827,78.01914023774002,4.0
4,0,12,1,0,43.21,18.04,58.9,0.95,272143,130021,25184,17296,12085,6302,12965,5838,993,665,2421,33363,61827,83638,48580,58543,58646,52005,29543,31305,44758,66230,51569,0,0,0,0,0,0,0,0,0,80961,19497,61354,80295,104150,110815,107828,109137,101523,95816,58917,43024,26701,21372,15845,11152,11027,9156,8699,6160,3838,4148,1268,1122,967,1177,579,855,806,3898,1502,2331,82325,2140,1712,2297,3915,4746,5909,7374,6988,18733,24554,29956,43083,48313,45588,46690,74065,76105,80876,82926,86228,58667,39577,29970,25499,18524,16270,15531,14958,13978,22094,76329,-0.1069069802761077,0.8232159614562988,-0.3260802579241086,0.2258548615579334,2.0131097,-2.4891198,0.6776845455169678,35.65598531234652,12.501183229433698,-0.9185054386260498,3.611047895392147,68.66013393984082,0.1170298579607827,156.27958213587434,4.0
4,0,13,0,0,47.89,19.95,99.15,0.89,278503,114254,25071,36614,25212,6087,24329,11549,1904,521,1028,12030,52650,32270,14479,58018,36271,27924,23870,27579,62083,112568,121106,0,0,0,0,0,0,0,0,0,6908,23077,76625,74139,98546,114070,129582,153753,123609,75856,51096,41641,36268,28687,19267,11616,9125,7932,7426,5381,4077,1537,1474,1259,1859,769,326,14,1,0,0,0,0,0,0,0,13,386,920,3481,8052,10923,17906,24754,34805,48739,53601,59853,67612,82711,91552,92317,95124,62785,42814,31269,25756,23212,22046,22339,20144,17088,25017,120701,-0.1233762726187706,0.9127848744392396,0.0898420693402396,0.2194247069045123,2.3001225,-2.7445211,0.8331761956214905,42.32650593686173,10.12046446273196,0.308951072357679,-0.8762329248536864,63.186612706580334,24.693821467582527,102.42380094142048,4.0
4,0,14,1,0,10.18,2.55,14.51,0.93,157232,40639,32330,44410,59880,39577,15545,4913,1760,1404,2018,10891,42280,234748,172894,114279,48243,10002,9004,9908,12125,23473,18365,0,0,0,0,0,0,0,0,0,99639,26649,50143,66219,76862,74082,65965,68454,107109,139420,74113,54696,37062,25764,21299,17440,14015,10633,9285,8184,9089,8610,1609,1216,894,1187,1357,1852,3797,20539,6754,1983,95452,5642,17613,18561,31658,20637,18140,23483,19319,65461,60038,38707,46422,72078,37937,47315,87838,45535,45120,42154,45311,45674,29967,17873,18330,19126,13214,13771,14136,11192,11169,27047,-0.1070998162031173,1.816401481628418,-0.2038862068338818,1.2137877602878415,5.0374627,-5.6775193,3.299314260482788,36.30961109956482,12.110740952480908,-2.262066891245827,4.087185902450569,56.961720033825785,0.0,146.67004641809817,4.0
4,0,15,0,0,51.66,31.28,97.58,0.94,55247,83104,54816,155502,224667,154486,40985,19510,5439,3036,4495,12117,14622,15630,177216,29677,8804,4986,5003,4022,7623,14131,10802,0,0,0,0,0,0,0,0,0,11766,28280,42906,54846,103992,140683,108908,69117,50746,48117,49834,56991,61076,59759,57714,51776,41866,27727,19830,11702,4682,1542,1784,251,19,5,1,0,0,0,0,0,0,0,0,0,0,8,197,628,1272,5257,10022,14160,19439,25873,37563,46944,52425,65195,75190,65994,51765,56801,78286,68721,86171,72055,57221,49514,43960,33352,25608,62299,-0.0200748201459646,0.6697176098823547,-0.0089736823751808,1.4841115337722073,1.9595869,-2.1529758,0.4485217034816742,37.82422063540013,5.603287158940665,-0.1761665951850224,-0.9848239454220656,49.42811132291836,26.10889882394587,31.396826985549342,4.0
4,0,16,1,0,10.18,8.04,26.29,0.96,201532,40378,22448,64858,75696,36471,10276,6234,3287,1461,1935,7733,19811,169494,257993,94523,35780,6376,5663,5518,9745,17834,10874,0,0,0,0,0,0,0,0,0,163548,23463,38950,53009,69122,63482,49529,39541,66436,116804,73382,58443,54279,62857,52142,39393,16511,9452,6292,4829,5505,6330,1332,1283,774,950,1041,1237,2261,15370,5563,2810,159230,4308,10861,15948,25414,21446,17028,24793,22879,54342,49149,39732,46681,66073,36376,40366,68538,50345,53359,52345,45314,38564,28824,21058,21443,23598,16980,13345,11883,6713,5497,13488,-0.013765531592071,1.052794337272644,0.9145053352079666,6.261654197415146,4.7140512,-4.126658,1.1083760261535645,32.393474351346825,13.954264064676972,-1.6224470040247363,1.202143391015256,50.25298654847019,0.1142917609591493,194.72148558673507,4.0
4,0,17,0,0,38.98,21.39,100.0,1.0,90951,77342,32796,139632,210060,33005,13877,12706,3800,1707,2876,52711,41460,29329,259869,42346,8505,3761,5530,4162,7471,15680,16344,0,0,0,0,0,0,0,0,0,24857,34684,46505,53119,64634,65328,56481,60482,69240,85583,95795,86413,102423,109696,78200,36302,12023,7408,4355,2048,1723,1940,2356,1508,1584,1109,120,4,0,0,0,0,0,0,0,1,26,727,3614,6740,13840,22163,30559,40872,45953,48065,52941,56289,54288,63121,74856,105892,79463,61769,51527,46775,38329,36857,31969,27819,21627,16349,15177,58312,-0.0013416091678664,0.7436527609825134,-1.117671193651003,2.9609301273184885,1.3956292,-3.1689644,0.5530194640159607,41.11673997905902,7.438096751252658,-0.4253795081619589,-0.1533778387111963,57.61898606577218,23.1928752474956,55.32528328099535,4.0
4,0,18,0,0,58.13,27.42,99.36,0.86,123684,82498,48682,155096,123721,23276,13230,14401,4163,1756,3265,65242,44384,36427,267036,28332,9164,4222,6726,5186,8895,17562,18972,0,0,0,0,0,0,0,0,0,29840,32855,41750,50244,59880,64566,64383,66116,72689,83671,88650,72950,81032,103074,87715,51146,22821,15356,4920,2072,1470,1089,1793,2471,2231,1077,57,2,0,0,0,0,0,0,0,0,15,506,1995,8892,22543,26238,38772,52397,53413,50340,49732,51615,67303,76185,84827,100727,80462,59450,45674,37346,29617,25594,21810,20092,16730,14089,12523,57033,0.0079710399731993,0.7798131108283997,-0.5317574933864785,2.4329622570383496,2.5128837,-3.2232974,0.6081085205078125,42.52765202118059,10.31196280843128,0.4113236396527973,-0.3388745988112096,66.69918764113827,23.577702160880897,106.33657696246992,4.0
4,0,19,0,0,27.91,16.93,50.17,0.71,103052,64411,14571,72749,74969,10514,9136,8677,1808,1140,2162,33617,59536,190557,244415,116990,38806,7789,9778,6041,8288,14363,12551,0,0,0,0,0,0,0,0,0,59835,35540,53312,58763,71371,65624,58643,54122,91090,131616,83129,69383,71025,65947,41515,21305,9288,7503,6424,5225,6707,6423,2837,1995,859,1283,1160,1067,2710,14882,4558,779,29075,3508,9087,11871,20784,19901,17576,23392,22902,60278,58752,42759,43377,57990,34471,37236,74997,36454,50713,58893,52068,48331,41402,35981,29732,29363,26334,20633,16735,13570,13567,64188,-0.0448406785726547,1.3754695653915403,0.6166947822394964,2.425287495736886,4.9707294,-3.297717,1.8919166326522827,44.734456609956986,9.7480447605427,-2.0565745780220244,8.782075583727035,65.77109217237857,0.1170298579607827,95.02437665354395,4.0
